model	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	distance	diff_param	diff_hybrid	time
1D_2_4b	4	1	-1	2	1	0.5	0.5	0.096246433	0.072538438	3.9274616	1	-0.68403962	-0.72257031	-0.72257031	0.039177113	0.069788304	0.069788304	0.028690059	0.43790431	1.8294373	1.8294373	-9.1756012	R0:N6:S0:1	e569cda	 4.21e-04	 3.08e-01	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.4026358	-1.4026358	2	1	0.66439283	0.66439276	0.10363093	0.095045776	3.9049542	0.99999999	-0.67616856	-0.83386402	-0.83386397	0.041649213	0.090301988	0.090301977	0.037707471	0.41953765	1.7729235	1.7729236	-10.97523	R0:N6:S0:1	e569cda	 3.90e-04	 3.53e-02	 1.50e-02	2022-03-21@18:29
1D_2_4b	4	1.3527342	-1.3527343	2	1	0.66500735	0.66500703	0.10461477	0.099692614	3.9003074	0.99999997	-0.67459012	-0.85178799	-0.85178773	0.041974814	0.094504863	0.094504809	0.039014785	0.41673427	1.7655008	1.7655011	-10.786374	R0:N6:S0:1	e569cda	 4.18e-04	 1.21e-02	 1.48e-03	2022-03-21@18:29
1D_2_4b	4	1.3356106	-1.335611	2	1	0.66396659	0.66396643	0.10485266	0.100935	3.899065	0.99999998	-0.67417096	-0.85636389	-0.8563637	0.042053375	0.095626857	0.095626816	0.039337964	0.41603129	1.7637155	1.7637157	-10.719539	R0:N6:S0:1	e569cda	 4.26e-04	 3.39e-03	 3.92e-04	2022-03-21@18:29
1D_2_4b	4	1.3308337	-1.330834	2	1	0.66364658	0.66364662	0.10491712	0.10127732	3.8987227	1	-0.67405559	-0.8576135	-0.85761348	0.042074652	0.095935848	0.095935843	0.039425818	0.41583981	1.7632327	1.7632327	-10.700848	R0:N6:S0:1	e569cda	 4.29e-04	 9.24e-04	 1.08e-04	2022-03-21@18:29
1D_2_4b	4	1.3295298	-1.3295297	2	1	0.66355911	0.6635595	0.10493478	0.10137122	3.8986287	1	-0.67402394	-0.85795572	-0.85795602	0.042080484	0.096020595	0.096020658	0.039449883	0.41578736	1.7631007	1.7631004	-10.695746	R0:N6:S0:1	e569cda	 4.30e-04	 2.55e-04	 2.96e-05	2022-03-21@18:29
1D_2_4b	4	1.3291704	-1.3291699	2	1	0.66353493	0.66353498	0.10493962	0.10139708	3.8986029	1	-0.67401523	-0.85804992	-0.85805005	0.04208208	0.096043936	0.096043964	0.039456495	0.41577294	1.7630643	1.7630642	-10.694337	R0:N6:S0:1	e569cda	 4.30e-04	 7.02e-05	 8.14e-06	2022-03-21@18:29
1D_2_4b	4	1.3290711	-1.329071	2	1	0.66352821	0.66352829	0.10494095	0.10140421	3.8985958	1	-0.67401283	-0.85807588	-0.85807595	0.04208252	0.096050368	0.096050383	0.039458316	0.41576897	1.7630543	1.7630542	-10.693951	R0:N6:S0:1	e569cda	 4.30e-04	 1.97e-06	 2.24e-06	2022-03-21@18:29
1D_2_4b	4	1.3290703	-1.3290703	2	1	0.66353093	0.6635309	0.1049412	0.10140526	3.8985947	1	-0.67401247	-0.85808006	-0.85808005	0.042082602	0.096051308	0.096051306	0.039458641	0.4157683	1.7630523	1.7630523	-10.693952	R0:N6:S0:1	e569cda	 4.30e-04	 0.00e+00	 4.01e-07	2022-03-21@18:29
1D_2_4b	4	1.3290703	-1.3290703	1.98	1	0.66353093	0.6635309	0.1044838	0.10233425	3.8995065	0.99907964	-0.67400951	-0.86161598	-0.85459351	0.041936156	0.096863707	0.095252941	0.039461693	0.41576127	1.758624	1.7674446	-10.653971	R0:N6:S0:1	e569cda	 4.30e-04	 1.17e-02	 1.00e+06	2022-03-21@18:29
