model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	version	DoS(0.01i)	time
1D_2_4b	-0.96591085	4	1.1524059	-1.1524067	2	1	0.61046529	0.61046028	0.99999977	-0.96591085	0.10360211	0.099340041	3.9006609	0.99999952	-0.67486309	-0.84430633	-0.84430216	0.041635616	0.094250227	0.094249373	0.037950006	0.41855365	1.7736584	1.7736627	-9.9324079	R0:N6:S0:1	8d6f65b	v1.0.0	0.00195311	2022-04-27@13:58
1D_2_4b	-0.96607632	4	1.1908332	-1.1005699	1.95	1	0.60944255	0.60999342	0.99995197	-0.96607632	0.10357908	0.099943724	3.9004164	0.99981994	-0.6747241	-0.84643524	-0.84510075	0.041628924	0.094791602	0.094478368	0.038044415	0.41834114	1.7723035	1.7740703	-9.6251376	R0:N6:S0:1	8d6f65b	v1.0.0	0.0019807	2022-04-27@13:58
1D_2_4b	-0.96610569	4	1.22968	-1.0487409	1.9	1	0.60694605	0.60962042	0.99997919	-0.96610569	0.10356291	0.10010392	3.9003113	0.99979239	-0.67468493	-0.84673254	-0.84539765	0.04162387	0.094933607	0.094580992	0.038049607	0.418316	1.7721589	1.7743109	-9.3166903	R0:N6:S0:1	8d6f65b	v1.0.0	0.00205269	2022-04-27@13:58
1D_2_4b	-0.96608964	4	1.2745429	-0.9846239	1.85	1	0.60510127	0.60663102	0.99999409	-0.96608964	0.10358556	0.10007838	3.9001208	0.9999004	-0.67466617	-0.84635133	-0.84573696	0.041630482	0.094919891	0.094751839	0.038021557	0.41835355	1.772994	1.7740415	-8.9580559	R0:N6:S0:1	8d6f65b	v1.0.0	0.00218612	2022-04-27@13:58
1D_2_4b	-0.96597121	4	1.3192796	-0.92347389	1.8	1	0.60249316	0.60401165	1.0000366	-0.96597121	0.10357576	0.099790175	3.9001309	1.0000395	-0.67472547	-0.84491521	-0.84537209	0.041626318	0.094667288	0.094742825	0.037929896	0.41852761	1.7743041	1.7740101	-8.6106751	R0:N6:S0:1	8d6f65b	v1.0.0	0.00239351	2022-04-27@13:58
1D_2_4b	-0.96576936	4	1.3637082	-0.86541687	1.75	1	0.59995979	0.60112194	1.0000397	-0.96576936	0.10347141	0.099422298	3.9004455	1.0000661	-0.67484916	-0.84320849	-0.84383623	0.041591371	0.09433995	0.094460661	0.037787046	0.41881229	1.7753646	1.7747934	-8.2752264	R0:N6:S0:1	8d6f65b	v1.0.0	0.00270033	2022-04-27@13:58
1D_2_4b	-0.96552309	4	1.4079663	-0.81017807	1.7	1	0.59712776	0.59871319	1.0000545	-0.96552309	0.10334832	0.098944055	3.9008695	1.0000932	-0.67500901	-0.84106519	-0.8419474	0.041550318	0.093910651	0.094080752	0.037617983	0.41915518	1.7765419	1.7757329	-7.9509458	R0:N6:S0:1	8d6f65b	v1.0.0	0.00316303	2022-04-27@13:58
1D_2_4b	-0.96550238	4	1.4051545	-0.73957659	1.65	1	0.58566685	0.5922246	1.0000383	-0.96550238	0.10309369	0.099697133	3.9007381	0.99978238	-0.67489807	-0.84233514	-0.84133605	0.041467488	0.094588725	0.094236129	0.037538385	0.41923881	1.7758505	1.7783501	-7.5607209	R0:N6:S0:1	8d6f65b	v1.0.0	0.0039239	2022-04-27@13:58
1D_2_4b	-0.9656378	4	1.3580969	-0.66849648	1.6	1	0.56721787	0.5832487	0.99988963	-0.9656378	0.10252628	0.10185466	3.9005382	0.99880355	-0.67457218	-0.8476472	-0.8402332	0.041284469	0.096515054	0.094498763	0.037519048	0.41913592	1.7718074	1.784439	-7.1651387	R0:N6:S0:1	8d6f65b	v1.0.0	0.00516351	2022-04-27@13:58
1D_2_4b	-0.96555559	4	1.371709	-0.60600373	1.55	1	0.55965602	0.57800577	0.99981429	-0.96555559	0.10223505	0.10246542	3.9006864	0.99842408	-0.67452922	-0.84869412	-0.83868438	0.041189515	0.097062156	0.09439704	0.037422497	0.41927705	1.7708475	1.7873562	-6.8093117	R0:N6:S0:1	8d6f65b	v1.0.0	0.00760384	2022-04-27@13:58
