

model	omega	U	V	t	ave_U_1	ave_V_1	ave_mu_1	ave_t_1	var_U_1	var_V_1	var_mu_1	var_t_1	E0_1	sector_1	githash	omegaH	time
2D_2x2	-1.8611625	4	1	1	0.085814981	0.92010036	1	-0.86212936	0.015568368	0.013590958	0	0.15773826	-6.3950763	R0:N4:S0:1	80f5993	-1.8611625	2022-02-15@11:03
2D_2x2	-1.429696	4	1.5	1	0.093557493	0.91270263	1	-0.88383253	0.016201399	0.014203512	0	0.12729606	-4.5621945	R0:N4:S0:1	80f5993	-1.429696	2022-02-15@11:03
2D_2x2	-0.80609747	4	2	1	0.20277509	0.70277509	1	-0.90279121	0.036484918	0.13752759	0	0.10094495	-2.7445626	R0:N4:S0:1	80f5993	-0.80609747	2022-02-15@11:03
2D_2x2	-0.54022213	4	2.5	1	0.38838463	0.30528116	1	-0.80423773	0.024903826	0.15674697	0	0.19622106	-1.9499854	R0:N4:S0:1	80f5993	-0.54022213	2022-02-15@11:03
2D_2x2	-0.39556279	4	3	1	0.43477257	0.18646035	1	-0.66599162	0.015492344	0.11309262	0	0.30095073	-1.4700812	R0:N4:S0:1	80f5993	-0.39556279	2022-02-15@11:03
2D_2x2	-0.3086022	4	3.5	1	0.45845824	0.12152883	1	-0.55129398	0.010058751	0.079800346	0	0.36830313	-1.1684404	R0:N4:S0:1	80f5993	-0.3086022	2022-02-15@11:03
2D_2x2	-0.25187129	4	4	1	0.47148951	0.08439226	1	-0.46496142	0.0069599224	0.057822779	0	0.40862075	-0.96573742	R0:N4:S0:1	80f5993	-0.25187129	2022-02-15@11:03
2D_2x2	-0.21183902	4	4.5	1	0.47929956	0.061652767	1	-0.39999016	0.0050775365	0.043319174	0	0.4335729	-0.82141792	R0:N4:S0:1	80f5993	-0.21183902	2022-02-15@11:03
2D_2x2	-0.1825752	4	5	1	0.48431848	0.046862247	1	-0.35005828	0.0038593466	0.033459666	0	0.44979539	-0.7138925	R0:N4:S0:1	80f5993	-0.1825752	2022-02-15@11:03
2D_2x2	-0.16040049	4	5.5	1	0.48772435	0.036754393	1	-0.31076613	0.0030287814	0.02652845	0	0.46083708	-0.63087829	R0:N4:S0:1	80f5993	-0.16040049	2022-02-15@11:03
2D_2x2	-0.14305316	4	6	1	0.49013716	0.029563228	1	-0.27916456	0.0024382858	0.021501664	0	0.46865301	-0.56494626	R0:N4:S0:1	80f5993	-0.14305316	2022-02-15@11:03
2D_2x2	-0.1291157	4	6.5	1	0.49190667	0.024275392	1	-0.25325797	0.0020039898	0.017754577	0	0.47437091	-0.511365	R0:N4:S0:1	80f5993	-0.1291157	2022-02-15@11:03
